recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
447288,41.60847,27.007482,0.275,0.241,20121320,4,20,0.788,0.122,14.906,0.109,15.693,0.055,15.268,0.035,14.663,0.087,14.397,0.052
447289,41.634805,27.032953,0.299,0.209,20121320,4,20,0.684,0.104,14.314,0.057,14.998,0.086,14.621,0.049,14.084,0.081,13.859,0.038
447290,41.642137,27.050331,0.542,0.631,20121320,4,19,0.843,0.133,15.25,0.126,16.092,0.043,15.678,0.055,14.914,0.118,14.643,0.031
447349,41.593185,27.054001,0.144,0.115,20121320,2,10,,,,,,,,,,,,
447350,41.5487,27.068527,0.311,0.194,20121320,4,20,0.835,0.115,14.017,0.071,14.852,0.091,14.419,0.058,13.778,0.09,13.529,0.052
447351,41.569478,27.070042,1.28,0.555,20121320,3,9,0.676,0.347,16.628,0.075,17.304,0.339,16.936,0.017,16.305,0.081,16.124,0.0
447352,41.639079,27.098632,0.809,0.232,20121320,2,3,,,,,,,16.933,0.0,16.037,0.0,15.708,0.146
447353,41.600814,27.099034,0.223,0.257,20121320,4,20,1.135,0.104,13.601,0.071,14.737,0.075,14.183,0.043,13.161,0.083,12.772,0.041
447354,41.617515,27.135563,1.009,1.077,20151198,2,5,1.21,0.0,16.233,0.0,17.443,0.0,16.834,0.0,15.969,0.0,15.733,0.111
447355,41.546841,27.092256,0.866,1.003,20151198,2,6,0.617,0.332,16.565,0.054,17.181,0.328,16.95,0.0,16.429,0.0,,
447356,41.553289,27.109984,0.466,0.48,20121320,4,20,0.906,0.132,14.908,0.101,15.814,0.084,15.355,0.027,14.59,0.097,14.29,0.028
447357,41.55429,27.099062,0.371,0.475,20121320,4,20,0.792,0.127,14.983,0.073,15.775,0.103,15.324,0.043,14.723,0.119,14.558,0.064
447358,41.527953,27.150693,0.399,0.234,20121320,4,20,0.654,0.115,13.041,0.075,13.695,0.088,13.343,0.045,12.85,0.09,12.71,0.057
447359,41.582031,27.139063,0.595,0.45,20121320,4,20,0.663,0.099,14.849,0.053,15.511,0.083,15.165,0.027,14.651,0.103,14.399,0.053
447360,41.601022,27.156991,0.418,0.252,20121320,4,20,0.992,0.123,13.883,0.083,14.874,0.091,14.381,0.046,13.512,0.092,13.161,0.052
447361,41.537439,27.156413,0.352,0.673,20151198,2,4,,,,,,,17.102,0.145,16.697,0.134,,
447374,41.494746,27.162602,0.426,0.316,20121320,4,20,1.34,0.123,11.775,0.082,13.115,0.092,12.43,0.049,11.34,0.097,10.894,0.047
447375,41.498426,27.153764,1.007,1.08,20121320,2,7,0.755,0.0,16.539,0.0,17.294,0.0,16.937,0.09,16.104,0.034,15.58,0.0
447379,41.543231,27.170898,1.089,1.149,20121320,3,14,0.805,0.206,16.128,0.115,16.933,0.17,16.512,0.084,15.874,0.08,15.676,0.058
447380,41.566259,27.200052,1.079,0.833,20121320,2,6,0.932,0.22,16.578,0.0,17.509,0.22,16.935,0.0,16.375,0.0,,
447381,41.503207,27.200691,0.945,0.98,20121320,3,12,0.998,0.123,15.59,0.113,16.588,0.049,16.044,0.031,15.159,0.062,14.83,0.112
447382,41.520545,27.221963,0.527,0.61,20121320,6,21,0.52,0.176,14.882,0.106,15.402,0.141,15.117,0.038,14.728,0.111,14.602,0.066
447383,41.543162,27.215818,0.609,1.268,20121320,3,11,0.813,0.111,16.316,0.109,17.13,0.019,16.596,0.05,15.878,0.105,16.025,0.0
447392,41.856946,27.00584,0.539,0.532,20121320,4,20,0.976,0.09,15.16,0.064,16.137,0.063,15.657,0.03,14.795,0.1,14.462,0.09
447393,41.808031,26.990196,0.05,0.08,20121320,4,20,1.04,0.1,10.951,0.076,11.991,0.065,11.458,0.047,10.642,0.08,10.35,0.05
447394,41.864856,27.046203,0.824,0.665,20121320,4,16,0.803,0.088,15.769,0.028,16.573,0.083,16.118,0.08,15.596,0.108,15.481,0.161
447395,41.80572,27.03313,0.16,0.074,20121320,4,20,0.663,0.103,11.446,0.079,12.109,0.066,11.761,0.046,11.264,0.076,11.086,0.04
447396,41.833413,27.044731,1.061,0.624,20151198,2,6,,,,,,,16.889,0.13,15.941,0.039,15.79,0.128
447397,41.90414,27.048428,0.994,0.903,20121320,3,12,0.605,0.207,16.675,0.124,17.28,0.165,16.93,0.115,16.365,0.073,,
